x=541, y=1009, w=4, h=3
x=537, y=1003, w=4, h=5
x=534, y=1001, w=5, h=6
x=359, y=1001, w=11, h=7
x=297, y=1001, w=3, h=4
x=143, y=1001, w=10, h=5
x=143, y=1002, w=4, h=3
x=149, y=1001, w=4, h=4
x=5, y=1001, w=6, h=3
x=935, y=1000, w=6, h=5
x=605, y=1000, w=5, h=6
x=605, y=1002, w=4, h=3
x=526, y=1000, w=8, h=6
x=441, y=1000, w=4, h=4
x=353, y=1000, w=4, h=4
x=353, y=1000, w=4, h=4
x=94, y=1000, w=11, h=6
x=1177, y=999, w=9, h=8
x=1180, y=1000, w=6, h=5
x=807, y=999, w=13, h=12
x=728, y=999, w=15, h=9
x=735, y=1002, w=5, h=4
x=732, y=1000, w=5, h=5
x=684, y=999, w=12, h=8
x=995, y=998, w=7, h=6
x=938, y=998, w=3, h=4
x=123, y=998, w=8, h=3
x=818, y=997, w=3, h=5
x=770, y=997, w=19, h=13
x=780, y=1005, w=4, h=5
x=783, y=1000, w=3, h=3
x=753, y=997, w=6, h=6
x=583, y=997, w=3, h=6
x=523, y=997, w=10, h=2
x=512, y=997, w=4, h=3
x=512, y=997, w=4, h=3
x=0, y=997, w=6, h=3
x=1186, y=996, w=6, h=6
x=1142, y=996, w=8, h=5
x=862, y=996, w=5, h=9
x=613, y=996, w=11, h=6
x=613, y=998, w=4, h=3
x=618, y=996, w=3, h=4
x=591, y=996, w=6, h=6
x=29, y=996, w=4, h=4
x=668, y=995, w=4, h=5
x=555, y=995, w=17, h=16
x=559, y=1006, w=3, h=3
x=564, y=1001, w=5, h=8
x=557, y=1001, w=3, h=3
x=563, y=998, w=4, h=4
x=1208, y=994, w=16, h=6
x=1138, y=994, w=1, h=1
x=675, y=994, w=22, h=14
x=1130, y=993, w=17, h=10
x=1024, y=993, w=9, h=7
x=977, y=993, w=7, h=6
x=979, y=994, w=4, h=5
x=665, y=993, w=4, h=6
x=568, y=993, w=11, h=9
x=534, y=993, w=6, h=6
x=487, y=993, w=6, h=10
x=120, y=993, w=22, h=6
x=138, y=994, w=4, h=4
x=79, y=993, w=31, h=4
x=1099, y=992, w=5, h=4
x=719, y=992, w=5, h=4
x=721, y=992, w=3, h=4
x=404, y=992, w=5, h=8
x=932, y=991, w=12, h=6
x=795, y=991, w=2, h=3
x=707, y=991, w=5, h=8
x=648, y=991, w=4, h=5
x=648, y=991, w=4, h=3
x=508, y=991, w=12, h=2
x=429, y=991, w=3, h=6
x=319, y=991, w=7, h=5
x=1294, y=990, w=9, h=5
x=1229, y=990, w=8, h=7
x=1132, y=990, w=10, h=4
x=929, y=990, w=2, h=3
x=776, y=990, w=15, h=4
x=655, y=990, w=5, h=2
x=1082, y=989, w=4, h=6
x=792, y=989, w=8, h=4
x=746, y=989, w=9, h=7
x=747, y=991, w=5, h=5
x=723, y=989, w=15, h=7
x=729, y=993, w=3, h=3
x=726, y=991, w=5, h=4
x=729, y=990, w=6, h=4
x=565, y=989, w=6, h=3
x=566, y=989, w=3, h=3
x=495, y=989, w=6, h=4
x=1215, y=988, w=7, h=4
x=1181, y=988, w=5, h=5
x=974, y=988, w=7, h=4
x=975, y=988, w=5, h=3
x=904, y=988, w=12, h=6
x=611, y=988, w=6, h=4
x=476, y=988, w=5, h=3
x=1134, y=987, w=8, h=4
x=305, y=987, w=7, h=9
x=54, y=987, w=5, h=5
x=1552, y=986, w=19, h=10
x=1164, y=986, w=3, h=6
x=1086, y=986, w=20, h=15
x=1093, y=991, w=5, h=6
x=483, y=986, w=8, h=2
x=312, y=986, w=8, h=14
x=253, y=986, w=7, h=7
x=243, y=986, w=10, h=7
x=243, y=986, w=9, h=5
x=1369, y=985, w=6, h=5
